Parameter,Item,Unit,Value,Min,Max,be-capital-min,be-capital-max,be-purchase-min,be-purchase-max,be-pretreat-min,be-pretreat-max,ccs-capital-min,ccs-capital-max,ccs-capture-min,ccs-capture-max,ccs-transport-min,ccs-transport-max,ccs-storage-min,ccs-storage-max
PP-capital,investment cost,$/kw,3274,1398.5,5150,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274
PP-fixOM,fixed O&M,$/kw,41.66,29.3,54,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66,41.66
PP-variableOM,variable O&M,$/kw,31.35,24,38.7,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35,31.35
PP-coalCost,coal price ,$/MWh,11.45,1.9,21,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45
BE-capital,investment cost,$/kw,327.2,140.7,513.7,140.7,513.7,327.2,327.2,327.2,327.2,327.2,327.2,327.2,327.2,327.2,327.2,327.2,327.2
BE-fixOM,fixed O&M,$/kw,18.85,5.5,32.2,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
BE-variableOM,variable O&M,$/kw,27.5,25,30,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
BE-purchaseCost,purchase cost,$/MWh,10.3,2.12,18.47,10.3,10.3,2.12,18.47,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
BE-pretreatCost,pretreatment cost,$/MWh,6.15,2.4,9.9,6.15,6.15,6.15,6.15,2.4,9.9,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15
BE-transportCost1,transportation cost(ax+b): a,$/(MWh*km),0.065,0.00045,0.13,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
BE-transportCost2,transportation cost(ax+b): b,$/MWh,6.75,0.33,13.17,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
CCS-capital,investment cost,$/kw,1559.75,205,2914.5,1559.75,1559.75,1559.75,1559.75,1559.75,1559.75,205,2914.5,1559.75,1559.75,1559.75,1559.75,1559.75,1559.75
CCS-captureCost,equipment capture cost,$/t CO2,40,29,51,40,40,40,40,40,40,40,40,29,51,40,40,40,40
CCS-transportCost,transportation cost,$/(t CO2*km),0.1195,0.015,0.224,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.1195,0.015,0.224,0.1195,0.1195
CCS-storageCost,storage cost,$/t CO2,17.39,2.93,31.85,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,2.93,31.85
Carbon capture rate,carbon capture rate,%,90,40,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Life time,life time,year,40,25,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Depriciation rate,depreciation rate,%,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5
